chunk,step,t_s,expert_image_share,expert_lang_share,expert_state_share,expert_share_right_wrist_cam,expert_peak_x_right_wrist_cam,expert_entropy_right_wrist_cam,vlm_share_right_wrist_cam,vlm_peak_x_right_wrist_cam,vlm_entropy_right_wrist_cam,expert_share_wrist_cam,expert_peak_x_wrist_cam,expert_entropy_wrist_cam,vlm_share_wrist_cam,vlm_peak_x_wrist_cam,vlm_entropy_wrist_cam,expert_share_body_cam,expert_peak_x_body_cam,expert_entropy_body_cam,vlm_share_body_cam,vlm_peak_x_body_cam,vlm_entropy_body_cam
0,0,0.61,0.2655,0.6549,0.0796,0.0598,2.299,0.9597,0.3212,1.102,0.9996,0.0625,2.178,0.9662,0.3253,1.167,0.9991,0.1433,3.093,0.9243,0.3535,1.254,0.9983
1,50,3.22,0.2942,0.655,0.0507,0.1044,2.739,0.9368,0.3278,1.109,0.9997,0.0624,2.207,0.9665,0.3227,1.146,0.9993,0.1275,2.497,0.9536,0.3496,1.244,0.9981
2,100,5.82,0.3584,0.5741,0.0675,0.1194,2.66,0.9446,0.3293,1.215,0.9985,0.0846,2.238,0.9675,0.3244,1.144,0.9992,0.1544,3.073,0.9259,0.3464,1.288,0.9978
3,150,8.42,0.4269,0.483,0.0901,0.1569,1.86,0.9816,0.3199,1.06,0.9999,0.1287,1.751,0.9852,0.328,1.192,0.9985,0.1413,1.723,0.9863,0.3521,1.295,0.9978
4,200,11.02,0.2181,0.6399,0.1419,0.0772,2.764,0.9388,0.3212,1.08,0.9998,0.064,2.038,0.9695,0.3304,1.294,0.9967,0.0769,2.327,0.9586,0.3484,1.242,0.9985
5,250,13.62,0.2972,0.6067,0.0962,0.0891,2.599,0.9514,0.3192,1.096,0.9998,0.1008,2.473,0.9544,0.327,1.147,0.9991,0.1073,2.097,0.9712,0.3538,1.284,0.9981
6,300,16.22,0.3136,0.5853,0.1011,0.1062,1.864,0.9797,0.3184,1.082,0.9998,0.0912,2.337,0.9611,0.3307,1.188,0.9986,0.1163,1.925,0.9729,0.351,1.266,0.9982
7,350,18.82,0.2148,0.6502,0.135,0.0669,2.688,0.9422,0.3222,1.133,0.9995,0.0509,3.192,0.9122,0.332,1.297,0.997,0.097,2.363,0.9581,0.3459,1.238,0.9986
8,400,21.42,0.193,0.6876,0.1194,0.058,2.565,0.9521,0.3278,1.269,0.9963,0.0436,3.057,0.9206,0.3268,1.215,0.9983,0.0914,2.189,0.966,0.3454,1.246,0.9984
9,450,24.02,0.2065,0.6808,0.1127,0.0623,2.69,0.9463,0.3273,1.256,0.9968,0.0472,3.24,0.9127,0.3249,1.155,0.9993,0.097,2.209,0.9673,0.3478,1.26,0.9982
10,500,26.62,0.2061,0.6825,0.1114,0.067,2.581,0.9519,0.3218,1.112,0.9996,0.0448,3.07,0.9205,0.3285,1.213,0.9985,0.0943,2.327,0.9633,0.3497,1.275,0.9981
11,550,29.22,0.1965,0.7006,0.1029,0.0594,2.596,0.9502,0.3241,1.157,0.9991,0.047,3.153,0.9144,0.3256,1.15,0.9992,0.0901,2.262,0.9634,0.3503,1.267,0.9982
