step,t,LJ1.pos_target,LJ1.pos_commanded,LJ1.pos_actual,LJ2.pos_target,LJ2.pos_commanded,LJ2.pos_actual,LJ3.pos_target,LJ3.pos_commanded,LJ3.pos_actual,LJ4.pos_target,LJ4.pos_commanded,LJ4.pos_actual,LJ5.pos_target,LJ5.pos_commanded,LJ5.pos_actual,LJ6.pos_target,LJ6.pos_commanded,LJ6.pos_actual,LJ7.pos_target,LJ7.pos_commanded,LJ7.pos_actual,LJ8.pos_target,LJ8.pos_commanded,LJ8.pos_actual,RJ1.pos_target,RJ1.pos_commanded,RJ1.pos_actual,RJ2.pos_target,RJ2.pos_commanded,RJ2.pos_actual,RJ3.pos_target,RJ3.pos_commanded,RJ3.pos_actual,RJ4.pos_target,RJ4.pos_commanded,RJ4.pos_actual,RJ5.pos_target,RJ5.pos_commanded,RJ5.pos_actual,RJ6.pos_target,RJ6.pos_commanded,RJ6.pos_actual,RJ7.pos_target,RJ7.pos_commanded,RJ7.pos_actual,RJ8.pos_target,RJ8.pos_commanded,RJ8.pos_actual
0,0.004416704177856445,-8.496833470417187e-05,-8.496833470417187e-05,0.0024795910582131597,-4.753035682369955e-06,-4.753035682369955e-06,0.0001907377737087046,6.137082527857274e-05,6.137082527857274e-05,0.03070878156710144,5.852002232131781e-06,5.852002232131781e-06,0.012397955291065799,-4.5534849050454795e-05,-4.5534849050454795e-05,-0.006294346532387252,-3.951631879317574e-05,-3.951631879317574e-05,-0.022697795071335847,-6.103965120018984e-07,-6.103965120018984e-07,-0.007820248722056888,-1.1755,-1.1755,-0.14858472571908088,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
1,0.03757476806640625,-0.0002853732439689338,-0.0002853732439689338,0.0020981155107957505,-7.946020559757017e-06,-7.946020559757017e-06,0.0001907377737087046,0.0002047793532256037,0.0002047793532256037,0.028038452735179575,3.298247611382976e-05,3.298247611382976e-05,0.010872053101396162,-0.00016885731020011008,-0.00016885731020011008,-0.004386968795300206,-5.493717617355287e-05,-5.493717617355287e-05,-0.022697795071335847,-1.5016230747733061e-07,-1.5016230747733061e-07,-0.007820248722056888,-1.1755,-1.1755,-1.0305561913481345,-0.07686732280460795,-0.07686732280460795,-0.07763027389944277,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
2,0.07124161720275879,-0.0005767513648606837,-0.0005767513648606837,0.0017166399633783413,-8.176986739272252e-06,-8.176986739272252e-06,0.0001907377737087046,0.00037229122244752944,0.00037229122244752944,0.024223697261005483,4.49886720161885e-05,4.49886720161885e-05,0.010872053101396162,-0.00032861216459423304,-0.00032861216459423304,-0.0036240177004653873,-5.501199120772071e-05,-5.501199120772071e-05,-0.022697795071335847,8.972612022262183e-07,8.972612022262183e-07,-0.007820248722056888,-1.1755,-1.1755,-1.045052262149996,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.019264515144579164,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
3,0.10454010963439941,-0.0009359554387629032,-0.0009359554387629032,0.0017166399633783413,-8.134629752021283e-06,-8.134629752021283e-06,0.0001907377737087046,0.0005576391704380512,0.0005576391704380512,0.02193484397650103,4.4350636017043144e-05,4.4350636017043144e-05,0.010872053101396162,-0.00046115368604660034,-0.00046115368604660034,-0.003242542153047978,-5.501020132214762e-05,-5.501020132214762e-05,-0.022697795071335847,1.8337892697672942e-06,1.8337892697672942e-06,-0.007820248722056888,-1.1755,-1.1755,-1.056115053025101,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
4,0.13783574104309082,-0.0013483645161613822,-0.0013483645161613822,0.0020981155107957505,-8.05106719781179e-06,-8.05106719781179e-06,0.0001907377737087046,0.0007715909741818905,0.0007715909741818905,0.019264515144579164,4.396193253342062e-05,4.396193253342062e-05,0.010490577553978753,-0.000562687695492059,-0.000562687695492059,-0.003242542153047978,-5.4839802032802254e-05,-5.4839802032802254e-05,-0.022697795071335847,3.2419416129414458e-06,3.2419416129414458e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0603112840466924,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
5,0.17123174667358398,-0.0018019714625552297,-0.0018019714625552297,0.0017166399633783413,-8.119091944536194e-06,-8.119091944536194e-06,0.0001907377737087046,0.001008564722724259,0.001008564722724259,0.018501564049744346,4.3726384319597855e-05,4.3726384319597855e-05,0.008964675364309116,-0.0006406094180420041,-0.0006406094180420041,-0.0036240177004653873,-5.475397119880654e-05,-5.475397119880654e-05,-0.022697795071335847,4.195004748908104e-06,4.195004748908104e-06,-0.007820248722056888,-1.1755,-1.1755,-1.064507515068284,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
6,0.20463824272155762,-0.0022868295200169086,-0.0022868295200169086,0.0020981155107957505,-8.156522198987659e-06,-8.156522198987659e-06,0.0001907377737087046,0.0012631247518584132,0.0012631247518584132,0.018501564049744346,4.357719808467664e-05,4.357719808467664e-05,0.008964675364309116,-0.0007005339721217752,-0.0007005339721217752,-0.003242542153047978,-5.4697560699423775e-05,-5.4697560699423775e-05,-0.022697795071335847,4.819523837795714e-06,4.819523837795714e-06,-0.007820248722056888,-1.1755,-1.1755,-1.0679407949950406,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
7,0.23806428909301758,-0.002795158652588725,-0.002795158652588725,0.0020981155107957505,-8.164596692949999e-06,-8.164596692949999e-06,0.0001907377737087046,0.0015311103779822588,0.0015311103779822588,0.018501564049744346,4.350076414993964e-05,4.350076414993964e-05,0.008964675364309116,-0.0007467257673852146,-0.0007467257673852146,-0.003242542153047978,-5.465960202855058e-05,-5.465960202855058e-05,-0.022697795071335847,5.208451057114871e-06,5.208451057114871e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0713740749217973,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
8,0.2713618278503418,-0.0033212373964488506,-0.0033212373964488506,0.0017166399633783413,-8.173375135811511e-06,-8.173375135811511e-06,0.0001907377737087046,0.0018092027166858315,0.0018092027166858315,0.018501564049744346,4.3429849029053e-05,4.3429849029053e-05,0.008964675364309116,-0.0007823831983841956,-0.0007823831983841956,-0.003242542153047978,-5.4638756409985945e-05,-5.4638756409985945e-05,-0.022697795071335847,5.431299086922081e-06,5.431299086922081e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0751888303959714,-0.07686732280460795,-0.07686732280460795,-0.07763027389944277,0.018883039597161755,0.018883039597161755,0.019264515144579164,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.1119630731670096,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
9,0.304828405380249,-0.0038607341703027487,-0.0038607341703027487,0.0017166399633783413,-8.1812695498229e-06,-8.1812695498229e-06,0.0001907377737087046,0.0020950855687260628,0.0020950855687260628,0.018501564049744346,4.338275903137401e-05,4.338275903137401e-05,0.008964675364309116,-0.0008099408587440848,-0.0008099408587440848,-0.003242542153047978,-5.4630287195323035e-05,-5.4630287195323035e-05,-0.022697795071335847,5.528652764041908e-06,5.528652764041908e-06,-0.007438773174639479,-1.1755,-1.1755,-1.0751888303959714,-0.07686732280460795,-0.07686732280460795,-0.07724879835202536,0.018883039597161755,0.018883039597161755,0.018883039597161755,0.05855649652857231,0.05855649652857231,0.05855649652857231,0.06504158083466827,0.06504158083466827,0.06504158083466827,-0.11158159761959219,-0.11158159761959219,-0.11158159761959219,0.08564126039520836,0.08564126039520836,0.08564126039520836,0.05931944762340713,0.05931944762340713,0.05970092317082454,-0.0005722133211261138,-0.0005722133211261138,0.010872053101396162
